Time,Date,CarParkID,Area,Development,Location,AvailableLots,LotType,Agency
16:48:10,19/04/2021,1,Marina,Suntec City,1.29375 103.85718,945,C,LTA
16:48:10,19/04/2021,2,Marina,Marina Square,1.29115 103.85728,1329,C,LTA
16:48:10,19/04/2021,4,Marina,The Esplanade,1.29011 103.85561,598,C,LTA
16:48:10,19/04/2021,5,Marina,Millenia Singapore,1.29251 103.86009,702,C,LTA
16:48:10,19/04/2021,6,Marina,Singapore Flyer,1.28944 103.86311,137,C,LTA
16:48:10,19/04/2021,16,Harbfront,VivoCity P3,1.26421 103.82263,757,C,LTA
16:48:10,19/04/2021,17,Harbfront,Sentosa,1.25017 103.83126,1448,C,LTA
16:48:10,19/04/2021,19,Harbfront,Harbourfront Centre,1.26426 103.82011,614,C,LTA
16:48:10,19/04/2021,50,Harbfront,VivoCity P2,1.26426 103.82164,752,C,LTA
16:48:10,19/04/2021,20,Orchard,Far East Plaza,1.3071 103.83359,196,C,LTA
16:48:10,19/04/2021,18,Orchard,Tang Plaza,1.30491 103.83312,231,C,LTA
16:48:10,19/04/2021,15,Orchard,Wheelock Place,1.3048 103.83063,99,C,LTA
16:48:10,19/04/2021,13,Orchard,Ngee Ann City,1.30236 103.8349,708,C,LTA
16:48:10,19/04/2021,11,Orchard,Cineleisure,1.30151 103.83641,223,C,LTA
16:48:10,19/04/2021,21,Orchard,Centrepoint,1.302 103.83975,157,C,LTA
16:48:10,19/04/2021,24,Orchard,313@Somerset,1.30084 103.83872,148,C,LTA
16:48:10,19/04/2021,7,Orchard,Orchard Point,1.30135 103.84061,194,C,LTA
16:48:10,19/04/2021,22,Orchard,Concorde Hotel,1.3006 103.84191,247,C,LTA
16:48:10,19/04/2021,9,Orchard,Plaza Singapura,1.30103 103.84503,391,C,LTA
16:48:10,19/04/2021,10,Orchard,The Cathay,1.2995 103.84762,115,C,LTA
16:48:10,19/04/2021,23,Orchard,ION Orchard,1.30403 103.83206,256,C,LTA
16:48:10,19/04/2021,14,Orchard,Wisma Atria,1.30366 103.83327,173,C,LTA
16:48:10,19/04/2021,8,Orchard,The Heeren,1.30255 103.83739,130,C,LTA
16:48:10,19/04/2021,26,Harbfront,Resorts World Sentosa,1.25667 103.82012,2260,C,LTA
16:48:10,19/04/2021,27,Orchard,Orchard Central,1.30072 103.83979,216,C,LTA
16:48:10,19/04/2021,29,Marina,Marina Bay Sands,1.28225028515239 103.858300275795,299,C,LTA
16:48:10,19/04/2021,43,JurongLakeDistrict,Westgate,1.3343 103.74282,270,C,LTA
16:48:10,19/04/2021,52,Orchard,Orchard Gateway,1.30048 103.83931,184,C,LTA
16:48:10,19/04/2021,53,JurongLakeDistrict,IMM Building,1.334847 103.746815,514,C,LTA
16:48:10,19/04/2021,54,JurongLakeDistrict,JCube,1.33341 103.740088,165,C,LTA
16:48:10,19/04/2021,55,Orchard,Paragon,1.3038 103.83585,152,C,LTA
16:48:10,19/04/2021,56,Marina,National Gallery,1.29027 103.85167,73,C,LTA
16:48:10,19/04/2021,57,Orchard,The Atrium@Orchard,1.299781 103.84552,0,C,LTA
16:48:10,19/04/2021,58,Others,Bukit Panjang Plaza,1.37974 103.7644,166,C,LTA
16:48:10,19/04/2021,59,Others,Clarke Quay,1.290678 103.84648,195,C,LTA
16:48:10,19/04/2021,60,Others,The Star Vista,1.306787 103.78843,768,C,LTA
16:48:10,19/04/2021,61,Others,Bugis+,1.299748 103.85414,197,C,LTA
16:48:10,19/04/2021,62,Others,Lot One,1.385126 103.74494,237,C,LTA
16:48:10,19/04/2021,63,Others,Tampines Mall,1.352524 103.9447,442,C,LTA
16:48:10,19/04/2021,64,Others,Junction 8,1.350521 103.84859,134,C,LTA
16:48:10,19/04/2021,65,Others,Bedok Mall,1.3248 103.92939,93,C,LTA
16:48:10,19/04/2021,66,Others,Funan Mall,1.2911 103.8502,172,C,LTA
16:48:10,19/04/2021,A0007,,ANGULLIA PARK OFF STREET,1.3053280313212745 103.82957069514487,0,Y,URA
16:48:10,19/04/2021,A0007,,ANGULLIA PARK OFF STREET,1.3053280313212745 103.82957069514487,81,C,URA
16:48:10,19/04/2021,A0011,,ARMENIAN STREET OFF STREET,1.2939260442319098 103.84886606187928,25,C,URA
16:48:10,19/04/2021,A0021,,AMOY STREET OFF STREET,1.280790422979401 103.84717734239698,3,C,URA
16:48:10,19/04/2021,A0024,,ADAM ROAD FOOD CENTRE OFF STREET,1.3241651253846303 103.81389905715554,45,C,URA
16:48:10,19/04/2021,A0046,,ALJUNIED ROAD OFF STREET,1.3138928367737375 103.88178819343076,5,C,URA
16:48:10,19/04/2021,B0031,,BEATTY ROAD OFF STREET,1.31411103114537 103.85960539693774,6,C,URA
16:48:10,19/04/2021,B0032,,BUKIT TIMAH MARKET OFF STREET,1.3390889296394692 103.77639634689159,122,C,URA
16:48:10,19/04/2021,B0063,,BUKIT BATOK NATURE PARK OFF STREET,1.3473952305359211 103.76148104730633,22,C,URA
16:48:10,19/04/2021,B0087,,BAGHDAD STREET OFF STREET,1.3013034071461544 103.86037519945218,0,C,URA
16:48:10,19/04/2021,B0088,,BEDOK ROAD FOOD CENTRE OFF STREET,1.320882494257288 103.95521451777431,82,C,URA
16:48:10,19/04/2021,B0096,,BUKIT TIMAH LINK OFF STREET,1.3413345543964925 103.7768692104473,22,C,URA
16:48:10,19/04/2021,C0119,,CEYLON ROAD OFF STREET,1.3098549757016427 103.89943305397595,22,C,URA
16:48:10,19/04/2021,C0133,,CARPENTER STREET OFF STREET,1.288265760877135 103.84818289117743,0,C,URA
16:48:10,19/04/2021,C0148,,CLEMENCEAU AVENUE NORTH (NEWTON FC),1.3110998019417506 103.83975443423321,84,C,URA
16:48:10,19/04/2021,C0162,,CLEMENCEAU AVENUE OFF STREET,1.2939732461823374 103.84451675349408,23,C,URA
16:48:10,19/04/2021,C0162,,CLEMENCEAU AVENUE OFF STREET,1.2939732461823374 103.84451675349408,0,Y,URA
16:48:10,19/04/2021,D0006,,DUXTON HILL OFF STREET,1.279121361423107 103.84307668605454,16,C,URA
16:48:10,19/04/2021,D0026,,DICKSON ROAD OFF STREET,1.3058961275027456 103.85356732694179,9,C,URA
16:48:10,19/04/2021,D0026,,DICKSON ROAD OFF STREET,1.3058961275027456 103.85356732694179,6,Y,URA
16:48:10,19/04/2021,D0028,,DELTA CIRCUS FRINGE CAR PARK,1.2893051001281517 103.82465436208551,219,C,URA
16:48:10,19/04/2021,E0023,,EAST COAST PARK E3 OFF STREET,1.3086487746583644 103.9362443048082,0,C,URA
16:48:10,19/04/2021,E0023,,EAST COAST PARK E3 OFF STREET,1.3086487746583644 103.9362443048082,0,Y,URA
16:48:10,19/04/2021,E0024,,EAST COAST PARK E2 OFF STREET,1.3073484560087358 103.93582213910925,0,Y,URA
16:48:10,19/04/2021,E0024,,EAST COAST PARK E2 OFF STREET,1.3073484560087358 103.93582213910925,247,C,URA
16:48:10,19/04/2021,E0027,,EAST COAST PARK E1 OFF STREET,1.306893520703497 103.92999292150216,495,C,URA
16:48:10,19/04/2021,E0027,,EAST COAST PARK E1 OFF STREET,1.306893520703497 103.92999292150216,0,Y,URA
16:48:10,19/04/2021,H0003,,HAMILTON ROAD OFF STREET,1.3116228720853855 103.86179604070755,2,C,URA
16:48:10,19/04/2021,H0004,,HOLLAND DR/NORTH BOUNA VISTA RD OFF STREET,1.3119377259846055 103.79266055694676,81,C,URA
16:48:10,19/04/2021,H0011,,HOLLAND DRIVE OFF STREET,1.3106947374214337 103.79320773289525,147,C,URA
16:48:10,19/04/2021,H0015,,HINDOO ROAD OFF STREET,1.3085901317745132 103.85406595189491,0,C,URA
16:48:10,19/04/2021,H0022,,HULLET ROAD OFF STREET,1.3032004091309377 103.83904302350693,18,C,URA
16:48:10,19/04/2021,H0024,,HONG LIM PARK OFF STREET,1.2864010712092964 103.84732683484889,3,C,URA
16:48:10,19/04/2021,H0057,,HINDOO ROAD/KAMPONG KAPOR ROAD OFF STREET,1.307959413362438 103.85449803048786,0,C,URA
16:48:10,19/04/2021,J0017,,JOO CHIAT ROAD OFF STREET,1.3089312793016843 103.90342597378925,58,C,URA
16:48:10,19/04/2021,J0017,,JOO CHIAT ROAD OFF STREET,1.3089312793016843 103.90342597378925,29,Y,URA
16:48:10,19/04/2021,J0055,,JALAN SEH CHUAN OFF STREET,1.3416072968226134 103.774983522264,91,C,URA
16:48:10,19/04/2021,J0092,,JALAN KURAS OFF STREET,1.3733164289278814 103.82902743813321,28,C,URA
16:48:10,19/04/2021,J0100,,JALAN PELEPAH OFF STREET,1.2740710679512592 103.79551529813891,31,C,URA
16:48:10,19/04/2021,J0100,,JALAN PELEPAH OFF STREET,1.2740710679512592 103.79551529813891,0,Y,URA
16:48:10,19/04/2021,J0122,,JALAN KAYU OFF STREET,1.3988702481648212 103.87298020876878,178,C,URA
16:48:10,19/04/2021,K0037,,KING GEORGES AVENUE OFF STREET,1.3102875316446452 103.86155503310928,2,C,URA
