weekdayRate,ppCode,ppName,sunPHRate
$0.60,A0004,ALIWAL STREET ,$0.60
$0.60,A0005,ALLENBY ROAD ,$0.60
$1.20,A0006,AMOY STREET ,$0.60
$0.60,A0006,AMOY STREET ,$0.60
$1.30,A0007,ANGULLIA PARK OFF STREET,$0.70
$1.50,A0007,ANGULLIA PARK OFF STREET,$0.80
$0.80,A0007,ANGULLIA PARK OFF STREET,$0.80
$0.70,A0007,ANGULLIA PARK OFF STREET,$0.70
$1.20,A0008,ANN SIANG ROAD ,$0.60
$0.60,A0008,ANN SIANG ROAD ,$0.60
$0.60,A0010,ARAB STREET ,$0.60
$1.20,A0011,ARMENIAN STREET OFF STREET,$0.60
$1.40,A0011,ARMENIAN STREET OFF STREET,$0.75
$1.40,A0011,ARMENIAN STREET OFF STREET,$0.75
$0.60,A0011,ARMENIAN STREET OFF STREET,$0.60
$0.60,A0011,ARMENIAN STREET OFF STREET,$0.60
$0.60,A0017,ARAB STREET / QUEEN STREET OFF STREET,$0.60
$1.50,A0021,AMOY STREET OFF STREET ,$0.60
$0.60,A0021,AMOY STREET OFF STREET ,$0.60
$0.60,A0021,AMOY STREET OFF STREET ,$0.60
$0.60,A0024,ADAM ROAD FOOD CENTRE OFF STREET,$0.60
$0.60,A0024,ADAM ROAD FOOD CENTRE OFF STREET,$0.60
$0.60,A0025,ADAM ROAD / DUNEARN CLOSE OFF STREET,$0.60
$0.60,A0035,ANTHONY ROAD OFF STREET,$0.60
$0.75,A0035,ANTHONY ROAD OFF STREET,$0.60
$0.60,A0035,ANTHONY ROAD OFF STREET,$0.60
$0.60,A0035,ANTHONY ROAD OFF STREET,$0.60
$0.60,A0036,ANG MO KIO STREET 62 ,$0.60
$0.60,A0036,ANG MO KIO STREET 62 ,$0.60
$0.60,A0037,ANG MO KIO STREET 64 ,$0.60
$0.60,A0037,ANG MO KIO STREET 64 ,$0.60
$0.60,A0043,AYER RAJAH CRESCENT ,$0.60
$0.60,A0046,ALJUNIED ROAD OFF STREET,$0.60
$0.60,A0046,ALJUNIED ROAD OFF STREET,$0.60
$0.60,A0048,ANG MO KIO STREET 63 ,$0.60
$0.60,A0048,ANG MO KIO STREET 63 ,$0.60
$0.60,A0054,ANCHORVALE STREET ,$0.60
$0.60,A0054,ANCHORVALE STREET ,$0.60
$0.60,A0057,AROOZOO AVENUE ,$0.60
$0.60,A0057,AROOZOO AVENUE ,$0.60
$0.60,B0002,BAGHDAD STREET ,$0.60
$1.20,B0005,BANDA STREET / SAGO LANE OFF STREET,$0.60
$0.60,B0005,BANDA STREET / SAGO LANE OFF STREET,$0.60
$0.60,B0008,BEATTY ROAD ,$0.60
$0.60,B0011,BIRCH ROAD ,$0.60
